"Add","Thêm"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Add gift options"
"Add gift options for Individual Items","Thêm người nhận và lời nhắn"
"Add gift options for the Entire Order","Thêm người nhận và lời nhắn"
"Add gift options.","Add gift options."
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Are you sure?"
"Cancel","Bỏ qua"
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Edit","Sửa"
"From","Người gửi"
"Gift Message","Gift Message"
"Gift Message API","Gift Message API"
"Gift Options","Gift Options"
"Gift Options for","Gift Options for"
"Gift Options for Individual Items","Mỗi sản phẩm thành một gói quà"
"Gift Options for the Entire Order.","Tất cả sản phẩm trong đơn hàng này thành 1 gói quà"
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","SP %d của %d"
"Message","Lời nhắn"
"No","No"
"OK","OK"
"Save Gift Message","Save Gift Message"
"The gift message has been removed","The gift message has been removed"
"The gift message has been saved","The gift message has been saved"
"The gift message has been saved.","The gift message has been saved."
"To","Người nhận"
"Unknown entity type","Unknown entity type"
"Use config","Use config"
"Yes","Yes"
"You can leave this box blank if you do not wish to add a gift message for the item.","Điền thông tin người gửi và người nhận, phần lời nhắn bạn có thể bỏ qua."
"You can leave this box blank if you do not wish to add a gift message for this address.","Điền thông tin người gửi và người nhận, phần lời nhắn bạn có thể bỏ qua."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Điền thông tin người gửi và người nhận, phần lời nhắn bạn có thể bỏ qua."
"Check this checkbox if you want to add gift messages.", "Gói thành quà tặng"
