"%s was added to your shopping cart.","Sản phẩm %s đã được thêm vào giỏ hàng."
"%s was updated in your shopping cart.","Sản phẩm %s đã cập nhật lại trong giỏ hàng."
"* Required Fields","* Yêu cầu phải nhập"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","Đặt mua"
"Add to Compare","So sánh"
"Add to Wishlist","Lưu lại"
"Additional Product Info","Thông tin kỹ thuật"
"Address","Địa chỉ"
"Address %s of %s","Address %s of %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Cho phép khách thanh toán"
"Already registered?","Bạn đã đăng ký thành viên?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","Áp dụng mã giảm"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Back","Quay lại"
"Back to Billing Information","Quay lại địa chỉ thanh toán"
"Back to Select Addresses","Quay lại địa chỉ đã chọn"
"Back to Shipping Information","Quay lại địa chỉ vận chuyển"
"Back to Shopping Cart","Quay lại giỏ hàng"
"Based on your selection, you may be interested in the following items:","Chúng tôi nghĩ, sản phẩm sau sẽ giúp ích thêm cho bạn:"
"Billing Address","Địa chỉ thanh toán"
"Billing Information","Thông tin địa chỉ thanh toán"
"Billing Information - %s","Địa chỉ thanh toán - %s"
"Cancel Coupon","Hủy Coupon"
"Cannot add item to the shopping cart.","Bạn không thể thêm sản phẩm này vào giỏ hàng."
"Cannot add the item to shopping cart","Bạn không thể thêm sản phẩm này vào giỏ hàng"
"Cannot add the item to shopping cart.","Bạn không thể thêm sản phẩm này vào giỏ hàng."
"Cannot apply the coupon code.","Bạn không thể áp dụng mã coupon này."
"Cannot configure product.","Bạn không thể cấu hình sản phẩm này."
"Cannot open the overview page","Cannot open the overview page"
