"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s đã được thêm vào danh sách sản phẩm yêu thích. Click <a href=""%2$s"">vào đây</a> để tiếp tục mua hàng"
"%1$s has been updated in your wishlist.","%1$s đã được cập nhật trong danh sách sản phẩm yêu thích."
"%d product(s) have been added to shopping cart: %s.","%d sản phẩm đã được thêm vào giỏ hàng: %s."
"%s for ""%s"".","%s for ""%s""."
"%s's Wishlist","%s's yêu thích"
"* Required Fields","* Required Fields"
"Add All to Cart","Thêm tất cả vào giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","So sánh"
"Add to Wishlist","Thích sản phẩm này"
"Product Details and Comment", "Mô tả riêng cho sản phẩm này"
"Added From","Added From"
"Added On","Added On"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"An error occurred while adding item to wishlist: %s","An error occurred while adding item to wishlist: %s"
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wishlist."
"An error occurred while deleting the item from wishlist: %s","An error occurred while deleting the item from wishlist: %s"
"An error occurred while updating wishlist.","An error occurred while updating wishlist."
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Back","Quay lại"
"Can\'t delete item from wishlist","Can\'t delete item from wishlist"
"Can\'t save description %s","Can\'t save description %s"
"Can\'t update wishlist","Can\'t update wishlist"
"Cannot add item to shopping cart","Cannot add item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot configure product","Cannot configure product"
"Cannot create wishlist.","Cannot create wishlist."
"Cannot load wishlist item","Cannot load wishlist item"
"Cannot specify product.","Cannot specify product."
"Cannot specify wishlist item.","Cannot specify wishlist item."
"Cannot specify wishlist.","Cannot specify wishlist."
"Cannot update wishlist","Cannot update wishlist"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Click for price","Click for price"
"Comment","Comment"
"Comment:","Comment:"
"Configure Wishlist Item","Configure Wishlist Item"
"Configured Price:","Configured Price:"
"Customer My Account My Wishlist","Customer My Account My Wishlist"
"Customer My Account Wishlist Sharing Form","Customer My Account Wishlist Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wishlist View"
"Date Added","Date Added"
"Days in Wishlist","Days in Wishlist"
"Display Wishlist Summary","Display Wishlist Summary"
"Edit","Edit"
"Email Sender","Email người gửi"
"Email Template","Mẫu Email"
"Email address can\'t be empty.","Email address can\'t be empty."
"Email addresses, separated by commas","Email addresses, separated by commas"
"Enabled","Enabled"
"General Options","Cấu hình chung"
"Go to Wishlist","Sản phẩm yêu thích"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"Last Added Items","Sản phẩm mới thêm"
"Message","Message"
"My Wishlist","Sản phẩm yêu thích"
"My Wishlist (%d item)","Sản phẩm yêu thích (%d)"
"My Wishlist (%d items)","Sản phẩm yêu thích (%d)"
"My Wishlist <small>(%d)</small>","Sản phẩm yêu thích <small>(%d)</small>"
"My Wishlist Link","Sản phẩm yêu thích"
"Options Details","Options Details"
"Out of stock","Hết hàng"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Please input a valid email address."
"Please, enter your comments...","Bạn vui lòng nhập nội dung cho sản phẩm"
"Product","Sản phẩm"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(s) %s have required options. Each of them can be added to cart separately only."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Remove Item","Loại bỏ"
"Remove This Item","Loại bỏ"
"Remove item","Loại bỏ"
"Share Options","Cấu hình chia sẻ"
"Share Wishlist","Share sản phẩm yêu thích"
"Share Your Wishlist","Share sản phẩm yêu thích"
"Sharing Information","Thông tin share"
"This product(s) is currently out of stock","This product(s) is currently out of stock"
"Unable to add the following product(s) to shopping cart: %s.","Unable to add the following product(s) to shopping cart: %s."
"Update Wishlist","Cập nhật"
"User description","User description"
"View Details","Xem chi tiết"
"View Product","Xem sản phẩm"
"What's this?","What's this?"
"Wishlist","Sản phẩm yêu thích"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Wishlist Sharing"
"Wishlist is empty now.","Wishlist is empty now."
"You have no items in your wishlist.","Bạn chưa thích sản phẩm nào."
"Your Wishlist has been shared.","Danh sách sản phẩm yêu thích của bạn đã được gửi đi."
